keyword,tfidf_score
quality,66.25374426489653
nice,54.05700260629286
cable,50.2403125549944
easy,41.217504332755006
money,39.816955566456734
charging,38.07258647035884
value,36.00396041941054
best,35.13633110378716
working,34.08860442841008
phone,33.855496492187385
value money,33.78994911211496
tv,32.200719225585715
like,31.511013781995715
battery,28.83611214450844
sound,28.45401003724629
ok,28.450275027349534
great,28.126822850764306
works,27.894952288192997
watch,26.867811899334804
worth,26.2735747211168
